show_id,type,title,director,cast,country,date_added,release_year,duration,listed_in,description,year_added,month_added,day_added,is_movie,cleaned_description,rating_G,rating_PG,rating_PG-13,rating_TV-14,rating_TV-G,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV
s20,Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,2021-09-10,2021,11 min,"Animation, Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",2021.0,9.0,10.0,1,adulting hard one day nailing next stack kid hiding trenchcoat,False,True,False,False,False,False,False,False,False
s21,TV Show,"Doogie Kamealoha, M.D.",Unknown,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,2021-09-08,2021,1 Season,"Comedy, Coming of Age, Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,2021.0,9.0,8.0,0,prodigy juggle budding medical career daily challenge teenage life,False,False,False,False,False,True,False,False,False
s22,TV Show,"Mira, Royal Detective",Unknown,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",United States,2021-09-08,2020,2 Seasons,"Animation, Fantasy, Kids",Mira is the new royal detective in the land of Jalpur!,2021.0,9.0,8.0,0,mira new royal detective land jalpur,False,False,False,False,False,False,True,False,False
s23,TV Show,Pepper Ann,Unknown,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",United States,2021-09-08,1997,3 Seasons,"Animation, Comedy, Coming of Age",Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.,2021.0,9.0,8.0,0,pepper ann pearson teenage girl eternal quest coolness,False,False,False,False,False,False,True,False,False
s24,TV Show,The Incredible Dr. Pol,Unknown,"Rick Robles, Dr. Pol",United States,2021-09-08,2011,19 Seasons,"Animals & Nature, Docuseries, Family",Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.,2021.0,9.0,8.0,0,pol team handle challenging veterinary case animal emergency central michigan,False,False,False,True,False,False,False,False,False
s25,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",United States,2021-09-03,2021,66 min,"Concert Film, Music","Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""",2021.0,9.0,3.0,1,billie eilish make debut happier ever love letter los angeles,False,False,False,True,False,False,False,False,False
s26,Movie,Tomorrowland,Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Kathryn Hahn","United States, Spain, France, Canada, United Kingdom",2021-09-03,2015,131 min,"Action-Adventure, Science Fiction",A jaded genius and an optimistic teen unearth the secrets of Tomorrowland.,2021.0,9.0,3.0,1,jaded genius optimistic teen unearth secret tomorrowland,False,True,False,False,False,False,False,False,False
s27,Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada",2021-09-03,2019,115 min,"Action-Adventure, Family, Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet.",2021.0,9.0,3.0,1,jean grey transforms dark phoenix unite face greatest enemy yet,False,False,True,False,False,False,False,False,False
s28,TV Show,Alaska Animal Rescue,Unknown,Victoria Vosburg,United States,2021-09-01,2019,2 Seasons,"Animals & Nature, Docuseries, Family",Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.,2021.0,9.0,1.0,0,conservation hero rescue rehabilitate wild animal america last frontier,False,False,False,False,False,True,False,False,False
s29,TV Show,Dug Days,Unknown,"Bob Peterson, Ed Asner, Jordan Nagai",United States,2021-09-01,2021,1 Season,"Animation, Comedy, Family","“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”",2021.0,9.0,1.0,0,dug day collection short follows adventure dug dog pixar,False,False,False,False,False,True,False,False,False
s30,Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste","United States, United Kingdom",2021-08-27,2021,137 min,"Crime, Drama","Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.",2021.0,8.0,27.0,1,witness origin disney notorious notoriously fashionable villain cruella de vil,False,False,True,False,False,False,False,False,False
s31,Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",United States,2021-08-27,2007,99 min,"Comedy, Drama, Romance",A relationship expert falls in love with his brother's new girlfriend.,2021.0,8.0,27.0,1,relationship expert fall love brother new girlfriend,False,False,True,False,False,False,False,False,False
s32,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",Unknown,2021-08-27,2021,22 min,"Family, Music, Variety",Celebrate the timeless music of Disney Princess!,2021.0,8.0,27.0,1,celebrate timeless music disney princess,False,False,False,False,True,False,False,False,False
s33,Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",United States,2021-08-27,2014,14 min,"Comedy, Drama, Thriller","Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.",2021.0,8.0,27.0,1,locked prison infamous icon trevor slattery agrees meet documentary filmmaker,False,False,False,True,False,False,False,False,False
s34,Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,2021-08-27,2007,85 min,"Action-Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.,2021.0,8.0,27.0,1,beagle try save capital city mad scientist,False,True,False,False,False,False,False,False,False
s35,TV Show,Dr. K's Exotic Animal ER,Unknown,"Dr. Susan Kelleher, Art Edmonds",Unknown,2021-08-25,2014,9 Seasons,"Animals & Nature, Docuseries, Family",Dedicated veterinarians treat a colorful array of exotic pets in south Florida.,2021.0,8.0,25.0,0,dedicated veterinarian treat colorful array exotic pet south florida,False,False,False,True,False,False,False,False,False
s36,TV Show,Gigantosaurus,Unknown,"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes",France,2021-08-25,2018,2 Seasons,"Action-Adventure, Animation, Kids",Four dinos explore the mystery of the Gigantosaurus!,2021.0,8.0,25.0,0,four dinos explore mystery gigantosaurus,False,False,False,False,False,False,True,False,False
s37,TV Show,Life Below Zero: Next Generation,Unknown,Mocean Melvin,United States,2021-08-25,2020,2 Seasons,"Action-Adventure, Animals & Nature, Docuseries",The next generation of Alaskans struggle to survive without modern-day comforts.,2021.0,8.0,25.0,0,next generation alaskan struggle survive without comfort,False,False,False,True,False,False,False,False,False
s38,Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund","United States, United Kingdom, Hungary",2021-08-20,2006,104 min,"Action-Adventure, Family, Fantasy","In a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure.",2021.0,8.0,20.0,1,mythical time teenage boy becomes dragon rider embarks journey adventure,False,True,False,False,False,False,False,False,False
s39,TV Show,"Dr. Oakley, Yukon Vet",Unknown,"Dr. Michelle Oakley, Zachary Fine",United States,2021-08-18,2013,9 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",2021.0,8.0,18.0,0,meet michelle oakley vet pretty much everything move rugged yukon,False,False,False,False,False,True,False,False,False
s40,TV Show,Growing Up Animal,Unknown,Tracee Ellis Ross,Unknown,2021-08-18,2021,1 Season,"Animals & Nature, Docuseries, Family",Magical stories of baby animals on the journey from womb to the wild.,2021.0,8.0,18.0,0,magical story baby animal journey womb wild,False,False,False,False,False,True,False,False,False
s41,Movie,Aquamarine,Elizabeth Allen Rosenbaum,"Jake McDorman, Arielle Kebbel, Claudia Karvan, Bruce Spence, Tammin Sursok, Roy Billing",United States,2021-08-13,2006,104 min,"Comedy, Coming of Age, Fantasy",Two 13-year-old best friends embark on an adventure when they discover a mermaid in a swimming pool.,2021.0,8.0,13.0,1,two best friend embark adventure discover mermaid swimming pool,False,True,False,False,False,False,False,False,False
s42,Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany",2021-08-13,2005,106 min,"Action-Adventure, Family, Science Fiction",Four astronauts develop superpowers and must join forces to protect mankind from doom.,2021.0,8.0,13.0,1,four astronaut develop superpower must join force protect mankind doom,False,False,True,False,False,False,False,False,False
s43,Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",United States,2021-08-13,2000,105 min,"Action-Adventure, Family, Science Fiction","The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them.",2021.0,8.0,13.0,1,small band outcast mutant fight save world hate fear,False,False,True,False,False,False,False,False,False
s44,TV Show,America's Funniest Home Videos: Animal Edition,Unknown,Alfonso Ribeiro,Unknown,2021-08-11,2021,1 Season,Reality,NatGeo meets AMERICA’S FUNNIEST HOME VIDEOS in a hilarious new animal show,2021.0,8.0,11.0,0,natgeo meet america funniest home video hilarious new animal show,False,False,False,False,False,True,False,False,False
s45,TV Show,Chicken Squad,Unknown,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",United States,2021-08-11,2021,1 Season,"Animation, Kids, Police/Cop",BAGAWK! Say hello to the Chicken Squad.,2021.0,8.0,11.0,0,bagawk say hello chicken squad,False,False,False,False,False,False,True,False,False
s46,TV Show,Disney Presents Goofy in How to Stay at Home,Unknown,"Bill Farmer, Corey Burton",Unknown,2021-08-11,2021,1 Season,"Animation, Comedy, Family","Goofy’s back in a trio of all-new, hand-drawn animated shorts from Walt Disney Animation Studios.",2021.0,8.0,11.0,0,goofy back trio animated short walt disney animation studio,False,False,False,False,True,False,False,False,False
s47,TV Show,Gabby Duran And The Unsittables,Unknown,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",United States,2021-08-11,2018,2 Seasons,"Comedy, Family, Science Fiction","Meet Gabby Duran, your average alien-babysitting girl.",2021.0,8.0,11.0,0,meet gabby duran average girl,False,False,False,False,True,False,False,False,False
s48,TV Show,What If...?,Unknown,Unknown,Unknown,2021-08-11,2021,1 Season,"Action-Adventure, Animation, Anthology",“What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.,2021.0,8.0,11.0,0,flip script mcu reimagining event film unexpected way,False,False,False,True,False,False,False,False,False
s49,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,2021-08-06,2011,88 min,"Action-Adventure, Comedy, Family","Papi and Chloe, those talking Chihuahuas, are back... with a few surprises.",2021.0,8.0,6.0,1,papi chloe talking chihuahua back surprise,True,False,False,False,False,False,False,False,False
s50,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",United States,2021-08-06,2012,92 min,"Comedy, Coming of Age, Family","Papi plans a ""Quince"" for the littlest member of his pack.",2021.0,8.0,6.0,1,papi plan quince littlest member pack,True,False,False,False,False,False,False,False,False
s51,Movie,Killer Shark vs Killer Whale,Unknown,Edward Marcoux,Unknown,2021-08-06,2021,44 min,"Animals & Nature, Documentary",Orcas attack white sharks for their livers leaving scientists baffled.,2021.0,8.0,6.0,1,orca attack white shark liver leaving scientist baffled,False,False,False,True,False,False,False,False,False
s52,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,2021-08-06,1993,126 min,"Comedy, Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.,2021.0,8.0,6.0,1,eccentric dad dress british nanny care kid home mother,False,False,True,False,False,False,False,False,False
s53,TV Show,Cesar Millan: Better Human Better Dog,Unknown,Dustin Rubin,Unknown,2021-08-04,2021,1 Season,"Animals & Nature, Docuseries, Family",Renowned Dog Behaviorist Cesar Millan transforms dogs and pet parents.,2021.0,8.0,4.0,0,renowned dog behaviorist cesar millan transforms dog pet parent,False,False,False,True,False,False,False,False,False
s54,TV Show,Disney Fancy Nancy,Unknown,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada",2021-08-04,2018,2 Seasons,"Animation, Kids",Nancy makes every day extraordinary!,2021.0,8.0,4.0,0,nancy make every day extraordinary,False,False,False,False,False,True,False,False,False
s55,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,Unknown,Unknown,Unknown,2021-08-04,2020,2 Seasons,"Animation, Anthology, Family",Welcome to Short Circuit - an experimental short film program at Disney Animation.,2021.0,8.0,4.0,0,welcome short circuit experimental short film program disney animation,False,True,False,False,False,False,False,False,False
s56,Movie,Built for Mars: The Perseverance Rover,Mark J Davis,Steven French,Unknown,2021-07-30,2021,88 min,Documentary,BUILT FOR MARS: THE PERSEVERANCE ROVER follows the birth of the Perseverance rover.,2021.0,7.0,30.0,1,built mar perseverance rover follows birth perseverance rover,False,False,False,False,False,True,False,False,False
s57,Movie,Garfield,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",United States,2021-07-30,2004,82 min,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him.",2021.0,7.0,30.0,1,garfield lure odie house lost garfield spring action save,False,True,False,False,False,False,False,False,False
s58,TV Show,Chip 'n' Dale: Park Life,Unknown,"Matthew Géczy, Kaycie Chase, Bill Farmer, Sylvain Caruso",Unknown,2021-07-28,2021,1 Season,"Animation, Buddy, Comedy",Two tiny chipmunks have huge adventures while trying to live the good life in a big city park.,2021.0,7.0,28.0,0,two tiny chipmunk huge adventure trying live good life big city park,False,False,False,False,False,False,False,True,False
s59,TV Show,Critter Fixers: Country Vets,Unknown,Sullivan Jones,United States,2021-07-28,2020,2 Seasons,"Animals & Nature, Docuseries, Family",Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.,2021.0,7.0,28.0,0,hodges ferguson operate bustling veterinary clinic,False,False,False,True,False,False,False,False,False
s60,TV Show,Disney Junior T.O.T.S.,Unknown,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",United States,2021-07-28,2018,2 Seasons,"Animation, Buddy, Kids",Pip and Freddy are new Junior Fliers at T.O.T.S.!,2021.0,7.0,28.0,0,pip freddy new junior flier,False,False,False,False,False,False,True,False,False
s61,TV Show,Mickey Mouse Funhouse,Unknown,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille, Harvey Guillén",Unknown,2021-07-28,2021,1 Season,"Animation, Kids",Mickey Mouse Funhouse is filled with silly adventure!,2021.0,7.0,28.0,0,mickey mouse funhouse filled silly adventure,False,False,False,False,False,False,True,False,False
s62,TV Show,Minnie's Bow-Toons: Party Palace Pals,Unknown,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",Unknown,2021-07-28,2021,1 Season,"Animation, Kids",Minnie and Daisy open a party planning business!,2021.0,7.0,28.0,0,minnie daisy open party planning business,False,False,False,False,False,False,False,True,False
s63,TV Show,Turning the Tables with Robin Roberts,Unknown,Robin Roberts,Unknown,2021-07-28,2021,1 Season,Talk Show,Robin Roberts sits down with iconic Hollywood women for intimate & inspirational conversations.,2021.0,7.0,28.0,0,robin robert sits iconic hollywood woman intimate inspirational conversation,False,False,False,False,False,True,False,False,False
s64,Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah","United States, United Kingdom, Australia",2021-07-23,2006,94 min,"Animation, Comedy, Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood.",2021.0,7.0,23.0,1,manny sid diego scrat join force new friend save valley epic flood,False,True,False,False,False,False,False,False,False
s65,Movie,Playing with Sharks,Unknown,"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall",Unknown,2021-07-23,2021,91 min,"Animals & Nature, Biographical, Documentary","""Playing with Sharks"" captures the life of conservationist Valerie Taylor.",2021.0,7.0,23.0,1,playing shark capture life conservationist valerie taylor,False,False,False,True,False,False,False,False,False
s66,Movie,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,Unknown,2021-07-23,2020,44 min,"Animals & Nature, Documentary",Shark vs. Surfer visits shark-infested surf spots to relive the harrowing encounters.,2021.0,7.0,23.0,1,shark surfer visit surf spot relive harrowing encounter,False,False,False,True,False,False,False,False,False
s67,Movie,Shark vs. Whale,Unknown,Ted Stewart,Unknown,2021-07-23,2020,44 min,"Animals & Nature, Documentary",Marine biologist Ryan Johnson discovers rare behavior of a whale attacking a great white.,2021.0,7.0,23.0,1,marine biologist ryan johnson discovers rare behavior whale attacking great white,False,False,False,False,False,True,False,False,False
s68,Movie,Stuntman,Kurt Mattila,Eddie Braun,Unknown,2021-07-23,2021,87 min,Documentary,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.,2021.0,7.0,23.0,1,stuntman eddie braun attempt complete evel knievel legendary snake river canyon rocket jump,False,False,False,True,False,False,False,False,False
s69,Movie,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe",Unknown,2021-07-23,2013,88 min,"Action-Adventure, Family, Fantasy",A young dinosaur named Patchi must find his courage to lead the herd.,2021.0,7.0,23.0,1,young dinosaur named patchi must find courage lead herd,False,True,False,False,False,False,False,False,False
s70,Movie,What the Shark?,Unknown,Robert Davi,Unknown,2021-07-23,2020,44 min,"Animals & Nature, Documentary",What the Shark? dives deep into the environments where adaptation is critical to survival.,2021.0,7.0,23.0,1,shark dive deep environment adaptation critical survival,False,False,False,False,False,True,False,False,False
s71,TV Show,Behind the Attraction,Unknown,Paget Brewster,Unknown,2021-07-21,2021,1 Season,"Docuseries, Family",Behind the Attraction takes you on a wild ride behind Disney Parks' most iconic attractions!,2021.0,7.0,21.0,0,behind attraction take wild ride behind disney park iconic attraction,False,False,False,False,False,True,False,False,False
s72,TV Show,Disney The Owl House,Unknown,"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman",United States,2021-07-21,2020,2 Seasons,"Action-Adventure, Animation, Anime",Luz stumbles upon a portal to a magical new world.,2021.0,7.0,21.0,0,luz stumble upon portal magical new world,False,False,False,False,False,False,False,True,False
s73,TV Show,Meet Spidey and His Amazing Friends (Shorts),Unknown,"Ben Valic, Melanie Minichino",Unknown,2021-07-21,2021,1 Season,"Action-Adventure, Animation, Kids",Meet the friends that help Spidey save the day!,2021.0,7.0,21.0,0,meet friend help spidey save day,False,False,False,False,False,False,True,False,False
s74,TV Show,Mission Force One,Unknown,"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker",United States,2021-07-21,2017,1 Season,"Action-Adventure, Animation, Kids",Five kids form an elite team to protect the universe!,2021.0,7.0,21.0,0,five kid form elite team protect universe,False,False,False,False,False,False,True,False,False
s75,TV Show,Turner & Hooch,Unknown,"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar",Unknown,2021-07-21,2021,1 Season,"Action-Adventure, Buddy, Comedy",A Deputy Marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.,2021.0,7.0,21.0,0,deputy marshal inherits unruly dog help solve crime investigate family mystery,False,False,False,False,False,True,False,False,False
s76,Movie,Most Wanted Sharks,Unknown,Unknown,Unknown,2021-07-16,2020,44 min,"Animals & Nature, Documentary","In Most Wanted Sharks, Jeremiah Sullivan dives into the stories of shark all-stars.",2021.0,7.0,16.0,1,wanted shark jeremiah sullivan dive story shark,False,False,False,False,False,True,False,False,False
s77,Movie,Secrets of the Bull Shark,Unknown,Keston John,Unknown,2021-07-16,2020,44 min,"Animals & Nature, Documentary",Secrets of the Bull Shark unravels the mystery of some of the most dangerous predators.,2021.0,7.0,16.0,1,secret bull shark unravels mystery dangerous predator,False,False,False,True,False,False,False,False,False
